Open,High,Close,Low,Volume,Date
3.68,3.8,3.74,3.68,50208,23-01-2017
3.74,3.75,3.75,3.66,47972,24-01-2017
3.75,3.8,3.8,3.73,33952,25-01-2017
3.8,3.8,3.79,3.77,32822,27-01-2017
3.8,3.8,3.73,3.68,21552,30-01-2017
3.75,3.75,3.65,3.6,50763,31-01-2017
3.69,3.69,3.64,3.61,59377,01-02-2017
3.64,3.66,3.55,3.51,120869,02-02-2017
3.64,3.66,3.49,3.49,75814,03-02-2017
3.49,3.54,3.44,3.43,86494,06-02-2017
3.5,3.6,3.55,3.46,169549,07-02-2017
3.5,3.58,3.52,3.5,50301,08-02-2017
3.5,3.58,3.51,3.5,105971,09-02-2017
3.5,3.59,3.58,3.5,22269,10-02-2017
3.55,3.59,3.55,3.52,73815,13-02-2017
3.55,3.69,3.67,3.55,70238,14-02-2017
3.63,3.8,3.8,3.63,38335,15-02-2017
3.75,3.78,3.69,3.69,191292,16-02-2017
3.72,3.75,3.73,3.7,59158,17-02-2017
3.73,3.75,3.63,3.63,36540,20-02-2017
3.65,3.65,3.56,3.56,48322,21-02-2017
3.56,3.77,3.77,3.56,42016,22-02-2017
3.74,3.78,3.62,3.62,31391,23-02-2017
3.8,3.98,3.86,3.8,230060,24-02-2017
3.9,3.91,3.84,3.82,287530,27-02-2017
3.85,3.86,3.81,3.8,356628,28-02-2017
3.8,3.86,3.75,3.75,141919,01-03-2017
3.76,4.005,3.96,3.7,237947,02-03-2017
3.99,4.08,4.08,3.92,175745,03-03-2017
4.08,4.18,4.1,4.04,348147,06-03-2017
4.15,4.2,4.05,4.05,173386,07-03-2017
4.09,4.15,4.02,4.02,121298,08-03-2017
4.05,4.05,3.97,3.97,172080,09-03-2017
3.99,4.17,4.08,3.98,157707,10-03-2017
4.08,4.09,4.04,4.03,108858,13-03-2017
4.1,4.1,4.03,4.03,223579,14-03-2017
4.08,4.08,4.0,4.0,239504,15-03-2017
4.02,4.04,3.95,3.91,317015,16-03-2017
4.0,4.03,3.9,3.9,465243,17-03-2017
3.99,3.99,3.93,3.89,230200,20-03-2017
3.99,3.99,3.95,3.905,279585,21-03-2017
3.96,3.97,3.95,3.93,296174,22-03-2017
3.97,3.98,3.93,3.92,355291,23-03-2017
3.98,3.99,3.96,3.95,219171,24-03-2017
3.99,4.0,3.97,3.95,540523,27-03-2017
4.0,4.0,3.95,3.95,654080,28-03-2017
3.96,4.01,3.98,3.96,922322,29-03-2017
3.0,3.2,3.11,2.97,740627,30-03-2017
3.15,3.16,3.02,3.01,328503,31-03-2017
3.03,3.06,2.96,2.95,461714,03-04-2017
2.98,2.99,2.91,2.91,344482,04-04-2017
2.93,3.01,3.0,2.93,350282,05-04-2017
2.98,3.02,3.0,2.96,291299,06-04-2017
2.96,3.0,3.0,2.96,173441,07-04-2017
3.0,3.0,2.96,2.91,130548,10-04-2017
2.95,2.96,2.89,2.88,129966,11-04-2017
2.89,2.9,2.85,2.82,148032,12-04-2017
2.83,2.84,2.76,2.71,279357,13-04-2017
2.74,2.74,2.66,2.595,556832,18-04-2017
